type,group,url
content-group,pillar,https://www.dealerspike.ca/digital-marketing-deep-dive
content-group,pillar,https://www.dealerspike.ca/streamline-customer-path-to-purchase
content-group,pillar,https://www.dealerspike.ca/blog/from-browsing-to-buying-how-a-digital-storefront-delivers-the-ultimate-shopper-experience--63878
content-group,sub-pillar,https://www.dealerspike.ca/blog/enhancing-sales--customer-experience-through-online-inventory-marketing--63322
content-group,sub-pillar,https://www.dealerspike.ca/blog/automated-email-marketing-what-it-is--what-it-does-for-you--53936
content-group,sub-pillar,https://www.dealerspike.ca/blog/increase-brand-awareness--drive-qualified-buyers-with-search-engine-optimization--61523
content-group,sub-pillar,https://www.dealerspike.ca/blog/a-guide-to-integrated-marketing-strategies-for-your-dealership--64891
content-group,sub-pillar,https://www.dealerspike.ca/blog/the-power-of-social-media-how-to-harness-its-impact-on-marketing--66497
content-group,sips,https://www.dealerspike.ca/empower-your-online-presence--responsive-dealer-websites
content-group,sips,https://www.dealerspike.ca/new-and-pre-owned-inventory-management-tools--inventory-management
content-group,sips,https://www.dealerspike.ca/create-a-powerful-online-shopping-center--ecommerce
content-group,sips,https://www.dealerspike.ca/people-are-looking-for-your-dealership--search-engine-marketing
content-group,sips,https://www.dealerspike.ca/people-are-looking-for-your-dealership--search-engine-optimization
content-group,sips,https://www.dealerspike.ca/default.asp?page=automated-email-marketing
content-group,sips,https://www.dealerspike.ca/--targeted-digital-advertising
content-group,sips,https://www.dealerspike.ca/see-what-our-clients-are-saying-about-us--rv-testimonials
content-group,sips,https://www.dealerspike.ca/see-our-work--rv-portfolio
content-group,sips,https://www.dealerspike.ca/see-our-work--powersports-portfolio
content-group,sips,https://www.dealerspike.ca/see-what-our-clients-are-saying-about-us--powersports-testimonials
content-group,sips,https://www.dealerspike.ca/watch-your-website-numbers-grow--reporting-and-stats
content-group,sips,https://www.dealerspike.ca/see-our-work--marine-portfolio
content-group,sips,https://www.dealerspike.ca/read-our-reviews
content-group,sips,https://www.dealerspike.ca/earn-positive-business-reviews--reputation-management
content-group,sips,https://www.dealerspike.ca/see-our-work--trailer-portfolio
content-group,sips,https://www.dealerspike.ca/see-what-our-clients-are-saying-about-us--trailer-testimonials
content-group,sips,https://www.dealerspike.ca/contact-us-with-any-questions-or-comments--contact-us
content-group,sips,https://www.dealerspike.ca/see-our-work--ag-portfolio
content-group,sips,https://www.dealerspike.ca/see-what-our-clients-are-saying-about-us--ag-testimonials
content-group,sips,https://www.dealerspike.ca/see-our-work--truck-portfolio
content-group,sips,https://www.dealerspike.ca/see-what-our-clients-are-saying-about-us--truck-testimonials
content-group,sips,https://www.dealerspike.ca/see-our-work--heavy-equipment-portfolio
content-group,sips,https://www.dealerspike.ca/see-what-our-clients-are-saying-about-us--heavy-equipment-testimonials
content-group,sips,https://www.dealerspike.ca/explore-manufacturer-co-op-offerings--oem-relations
content-group,sips,https://www.dealerspike.ca/--digital-marketing-product-line-up
content-group,sips,https://www.dealerspike.ca/automated-email-marketing
content-group,sips,https://www.dealerspike.ca/--automated-email-marketing
content-group,sips,https://www.dealerspike.ca/powersports
content-group,sips,https://www.dealerspike.ca/rv
content-group,sips,https://www.dealerspike.ca/marine
content-group,sips,https://www.dealerspike.ca/trailer
content-group,sips,https://www.dealerspike.ca/agriculture
content-group,sips,https://www.dealerspike.ca/truck
content-group,sips,https://www.dealerspike.ca/heavyequipment
content-group,sips,https://www.dealerspike.ca/payment-genie-tool
content-group,sips,https://www.dealerspike.ca/payment-genie-calculator
content-group,sips,https://www.dealerspike.ca/contact-us-today-to-schedule--virtual-presentation
content-group,sips,https://www.dealerspike.ca/solution/used-inventory-optimization-tools/
content-group,sips,https://www.dealerspike.ca/product/lead-hunter/
content-group,sips,https://www.dealerspike.ca/lp/lead-hunter/
content-group,sips,https://www.dealerspike.ca/product/automated-email-marketing-lead-hunter/
content-group,sips,https://www.dealerspike.ca/lp/aem-lead-hunter/
conversion,content,https://www.dealerspike.ca/digital-marketing-strategy-thank-you/
conversion,content,https://www.dealerspike.ca/marketing-strategy-webinar-thank-you
conversion,content,https://www.dealerspike.ca/ope-marketing-strategy-webinar-thank-you
conversion,content,https://www.dealerspike.ca/integrated-marketing-guide-thank-you
conversion,content,https://www.dealerspike.ca/--digital-marketing-product-ebook-thank-you
conversion,content,https://www.dealerspike.ca/advantages-of-automated-email-marketing-thank-you
conversion,demo,https://www.dealerspike.ca/thank-you
conversion,support,https://www.dealerspike.ca/support-thank-you
conversion,demo,https://www.dealerspike.ca/payment-genie-tool-thank-you
