type,group,url
content-group,sips,https://www.leadventure.com/products
content-group,sips,https://www.leadventure.com/digital-storefronts
content-group,sips,https://www.leadventure.com/digital-marketing
content-group,sips,https://www.leadventure.com/digital-retailing-tools
content-group,sips,https://www.leadventure.com/dealer-management-software
content-group,sips,https://www.leadventure.com/inventory-merchandising
content-group,sips,https://www.leadventure.com/oem-programs
content-group,sips,https://www.leadventure.com/parts-accessory
content-group,sips,https://www.leadventure.com/dealer-solutions/
content-group,sips,https://www.leadventure.com/oem-solutions/
content-group,sips,https://www.leadventure.com/dealer-solutions/digital-storefronts/
content-group,sips,https://www.leadventure.com/dealer-solutions/digital-marketing/
content-group,sips,https://www.leadventure.com/dealer-solutions/digital-retailing/
content-group,sips,https://www.leadventure.com/dealer-solutions/dealer-management-software/
content-group,sips,https://www.leadventure.com/dealer-solutions/ecatalog-solutions/
content-group,sips,https://www.leadventure.com/oem-solutions/branded-zones/
content-group,sips,https://www.leadventure.com/oem-solutions/oem-marketplace/
content-group,sips,https://www.leadventure.com/oem-solutions/dynamic-incentives/
content-group,sips,https://www.leadventure.com/oem-solutions/parts-data-software/
conversion,demo,https://www.leadventure.com/contact-us/thank-you/
